,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
88,2016-01-12,No Role Modelz,J. Cole,,32,38,7,39,False
89,2016-01-12,Backroad Song,Granger Smith,,40,47,5,40,False
90,2016-01-12,Dibs,Kelsea Ballerini,,41,50,7,41,False
91,2016-01-12,Adventure Of A Lifetime,Coldplay,,42,44,3,42,False
92,2016-01-12,See You Again,Wiz Khalifa Featuring Charlie Puth,,1,0,35,43,False
93,2016-01-12,Used To Love You,Gwen Stefani,,44,46,3,44,False
94,2016-01-12,Don't,Bryson Tiller,,40,41,4,45,False
95,2016-01-12,Stand By You,Rachel Platten,,46,49,3,46,False
96,2016-01-12,Again,Fetty Wap,,46,48,3,47,False
97,2016-01-12,We Went,Randy Houser,,48,0,1,48,True
98,2016-01-12,Country Nation,Brad Paisley,,49,0,3,49,False
99,2016-01-12,Down In The DM,Yo Gotti Featuring Nicki Minaj,,50,0,1,50,True
100,2016-01-19,Hello,Adele,,1,1,12,1,False
101,2016-01-19,Sorry,Justin Bieber,,2,2,11,2,False
102,2016-01-19,Same Old Love,Selena Gomez,,3,5,13,3,False
103,2016-01-19,Here,Alessia Cara,,3,4,15,4,False
104,2016-01-19,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,3,15,5,False
105,2016-01-19,Stitches,Shawn Mendes,,3,6,20,6,False
106,2016-01-19,Hotline Bling,Drake,,2,7,17,7,False
107,2016-01-19,On My Mind,Ellie Goulding,,8,8,15,8,False
108,2016-01-19,In The Night,The Weeknd,,9,11,8,9,False
109,2016-01-19,Wildest Dreams,Taylor Swift,,1,9,19,10,False
110,2016-01-19,Stressed Out,twenty one pilots,,11,12,6,11,False
111,2016-01-19,Love Yourself,Justin Bieber,,12,16,4,12,False
112,2016-01-19,Ex's & Oh's,Elle King,,5,10,21,13,False
113,2016-01-19,Die A Happy Man,Thomas Rhett,,14,15,10,14,False
114,2016-01-19,What Do You Mean?,Justin Bieber,,3,13,19,15,False
115,2016-01-19,The Hills,The Weeknd,,1,14,22,16,False
116,2016-01-19,Roses,The Chainsmokers Featuring Rozes,,17,25,5,17,False
117,2016-01-19,Jumpman,Drake & Future,,17,20,7,18,False
118,2016-01-19,Antidote,Travis Scott,,15,18,9,19,False
119,2016-01-19,Gonna Know We Were Here,Jason Aldean,,16,17,14,20,False
120,2016-01-19,I Love This Life,LOCASH,,21,21,9,21,False
121,2016-01-19,Confident,Demi Lovato,,18,19,11,22,False
122,2016-01-19,Stay A Little Longer,Brothers Osborne,,21,22,12,23,False
123,2016-01-19,When We Were Young,Adele,,24,29,3,24,False
124,2016-01-19,Break Up In A Small Town,Sam Hunt,,25,26,8,25,False
125,2016-01-19,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,26,35,5,26,False
126,2016-01-19,Locked Away,R. City Featuring Adam Levine,,2,23,24,27,False
127,2016-01-19,Say It,Tory Lanez,,28,32,8,28,False
128,2016-01-19,I Got The Boy,Jana Kramer,,29,36,9,29,False
129,2016-01-19,Can't Feel My Face,The Weeknd,,1,24,31,30,False
130,2016-01-19,Hide Away,Daya,,31,38,5,31,False
131,2016-01-19,Perfect,One Direction,,32,37,6,32,False
132,2016-01-19,Gonna,Blake Shelton,,14,30,16,33,False
133,2016-01-19,Top Of The World,Tim McGraw,,21,28,13,34,False
134,2016-01-19,White Iverson,Post Malone,,24,33,11,35,False
